Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2023-10-13 03:00:00.000,Lämpö,MWh,2023,10,13,3,-0.06,4.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2021-01-06 05:00:00.000,"Sähkö, Pätö",kWh,2021,1,6,5,25.4519999998156,-15.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-03-22 04:00:00.000,Lämpö,MWh,2023,3,22,4,0.212274131274131,-3.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-05-29 03:00:00.000,Lämpö,MWh,2020,5,29,3,0.062,8.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-07-13 23:00:00.000,"Sähkö, Pätö",kWh,2020,7,13,23,8.21499999996741,6.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-03-31 12:00:00.000,"Sähkö, Pätö",kWh,2022,3,31,12,38.9590000000317,-1.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2021-12-30 16:00:00.000,"Sähkö, Pätö",kWh,2021,12,30,16,10.3019999999087,0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-06-20 05:00:00.000,Lämpö,MWh,2022,6,20,5,0.01,14.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-09 07:00:00.000,Lämpö,MWh,2023,6,9,7,0.047,11.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-01-09 03:00:00.000,"Sähkö, Pätö",kWh,2022,1,9,3,8.29000000003725,-11.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2021-09-04 20:00:00.000,"Sähkö, Pätö",kWh,2021,9,4,20,12.3909999998286,4.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-10-04 16:00:00.000,Lämpö,MWh,2022,10,4,16,0.051,6.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-10-11 20:00:00.000,"Sähkö, Pätö",kWh,2023,10,11,20,27.6170000000671,7.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-10-17 06:00:00.000,"Sähkö, Pätö",kWh,2022,10,17,6,33.3010000002105,5.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-09-03 12:00:00.000,"Sähkö, Pätö",kWh,2023,9,3,12,37.380999999987,16.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-04-07 02:00:00.000,"Sähkö, Pätö",kWh,2023,4,7,2,10.2781269230776,3.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
