Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2020-01-07 03:00:00,Lämpö,MWh,2020,1,7,3,0.131,3.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 04:00:00,Lämpö,MWh,2020,1,7,4,0.148,3.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 05:00:00,Lämpö,MWh,2020,1,7,5,0.113,3.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 06:00:00,Lämpö,MWh,2020,1,7,6,0.13,4.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 07:00:00,Lämpö,MWh,2020,1,7,7,0.103,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 08:00:00,Lämpö,MWh,2020,1,7,8,0.168,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 09:00:00,Lämpö,MWh,2020,1,7,9,0.108,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 10:00:00,Lämpö,MWh,2020,1,7,10,0.142,4.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 11:00:00,Lämpö,MWh,2020,1,7,11,0.135,4.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 12:00:00,Lämpö,MWh,2020,1,7,12,0.131,3.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 13:00:00,Lämpö,MWh,2020,1,7,13,0.144,3.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 14:00:00,Lämpö,MWh,2020,1,7,14,0.122,2.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 15:00:00,Lämpö,MWh,2020,1,7,15,0.134,2.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 16:00:00,Lämpö,MWh,2020,1,7,16,0.094,1.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 17:00:00,Lämpö,MWh,2020,1,7,17,0.113,1.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 18:00:00,Lämpö,MWh,2020,1,7,18,0.101,2.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 19:00:00,Lämpö,MWh,2020,1,7,19,0.097,2.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 20:00:00,Lämpö,MWh,2020,1,7,20,0.097,3.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 21:00:00,Lämpö,MWh,2020,1,7,21,0.084,4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 22:00:00,Lämpö,MWh,2020,1,7,22,0.083,4.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 23:00:00,Lämpö,MWh,2020,1,7,23,0.09,4.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-08 00:00:00,Lämpö,MWh,2020,1,8,0,0.095,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-08 01:00:00,Lämpö,MWh,2020,1,8,1,0.108,4.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-08 02:00:00,Lämpö,MWh,2020,1,8,2,0.098,4.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
